codigo,nombre,latitud,longitud,elevacion,comuna,region,primera_lectura
DMC-400009,Aeropuerto de Cañal Bajo,-40.61444,-73.0575,61,Osorno,Los Lagos,2020-04-28 11:00
DMC-240005,Cerro Paranal,-24.6275,-70.40472,2648,Antofagasta,Antofagasta,2020-04-28 11:00
DMC-230021,Llano de Chajnantor,-23.00583,-67.75917,5000,San Pedro de Atacama,Antofagasta,2020-04-28 11:00
DMC-450005,Aeródromo Balmaceda,-45.91833,-71.67778,517,Coyhaique,Aisén,2021-11-16 10:00
DMC-520006,Aeropuerto Carlos Ibañez,-53.00167,-70.83861,36,Punta Arenas,Magallanes,2020-01-01 0:00
DMC-180005,Aeropuerto Chacalluta,-18.35555,-70.34028,50,Arica,Arica y Parinacota,2021-01-01 0:00
DMC-270008,Aeródromo Caldera,-27.25444,-70.78111,197,Caldera,Atacama,2021-01-01 0:00
DMC-370033,Aeródromo María Dolores,-37.39694,-72.42389,118,Los Ángeles,Biobío,2023-01-05 0:00
DMC-290013,Cerro La Silla,-29.25833,-70.73444,2377,La Higuera,Coquimbo,2019-01-01 0:00
DMC-380080,Aeródromo Lequecahue,-38.35944,-73.48833,153,Tirúa,Biobío,2021-09-11 8:00
DMC-510020,Río Serrano,-51.21667,-72.97028,22,Torres del Paine,Magallanes,2022-01-14 16:00
AGRICHILE-21006983,Camarico,-35.256908,-71.340973,223,Río Claro,Maule,2022-01-01 0:00
AGRICHILE-21033193,San Sebastián,-35.264213,-71.548013,144,Río Claro,Maule,2022-01-01 0:00
AGRICHILE-21033188,Parral,-36.197588,-71.814217,180,Parral,Maule,2022-01-01 0:00
AGRICHILE-21033186,San Gregorio,-36.283505,-71.840564,180,Ñiquén,Ñuble,2022-01-01 0:00
AGRICHILE-21033194,Caracas,-39.011256,-72.321039,208,Cunco,La Araucanía,2022-01-01 0:00
AGRICHILE-21198235,Los Niches,-35.05202,-71.148239,273,Curicó,Maule,2022-01-12 13:45
APECO-270008,Casa Rosada,-27.84914,-70.0875,1292,Tierra Amarilla,Atacama,2022-06-01 0:00
APECO-270019,Mayorquina,-27.337763,-70.567184,233,Copiapó,Atacama,2022-06-01 0:00
